RegionID,RegionName,City,State,Metro,CountyName,SizeRank,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01
273348,Cordova-Appling,Memphis,TN,Memphis,Shelby,55,93700,93200,93400,93300,93500,93900,94500,95400,96000,97400,99200,100200,100100
273973,Hickory Ridge-South Riverdale,Memphis,TN,Memphis,Shelby,56,58000,57300,57500,58700,59200,58600,58100,58300,58700,58800,59000,59500,59600
40548,Reseda,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,57,422400,424900,429100,433900,438900,442400,444600,447600,451700,455500,458500,460100,460900
13176,Panorama City,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,58,373800,376500,380400,386000,392400,396700,399800,404500,408900,408000,408600,413600,418000
114074,Cambrian Park,San Jose,CA,San Jose,Santa Clara,59,554900,563000,569100,576700,581500,585100,591100,600400,608700,619800,635300,648100,651900
275424,South Dorchester,Boston,MA,Boston,Suffolk,60,362800,367500,373700,381300,388900,394300,397600,401800,405800,407400,409400,411700,412700
13017,North Hills,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,61,298900,298600,301100,304600,306800,308600,310700,313100,316300,322000,328200,331200,331400
274526,Midtown,Memphis,TN,Memphis,Shelby,62,49800,49300,49100,49500,49800,49200,48900,49100,49400,48800,46900,45200,45000
246678,Princess Anne,Virginia Beach,VA,Virginia Beach,Virginia Beach City,63,190100,190900,191800,193300,194300,194600,194900,195600,196300,197600,198100,197700,198200
275471,Southeast Colorado Springs,Colorado Springs,CO,Colorado Springs,El Paso,64,149000,150500,152500,154400,156100,157600,159000,160800,163100,165400,167200,169200,171000
343868,Northwest Raleigh,Raleigh,NC,Raleigh,Wake,65,166600,168500,171700,173700,174800,176100,176900,177500,178700,180400,181600,182000,182300
48516,Wilmington,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,66,373600,375800,377500,378000,378300,377400,375700,375100,377500,382100,387800,396000,404000
274415,Flatlands,New York,NY,New York,Kings,67,411700,418400,421100,420400,421100,422400,427700,434300,438400,439900,441700,,
273540,East Colorado Springs,Colorado Springs,CO,Colorado Springs,El Paso,68,171800,173200,173900,174900,177200,180000,182200,183800,186100,187900,188500,190100,192900
